link,tecnologias,tipo_puesto,idioma,formacion,nivel_profesional
https://www.tecnoempleo.com/arquitecto-sap-hana-e-isu-consulsap/sap-sap-hana-hana-sap-isu-sap-utilitie/rf-b3361b7ef2fa03941a4a,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, SAP, SAP HANA, HANA, SAP ISU, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/service-manager-con-ingles-digital-talent-agency/itil-jira-saas-aws/rf-bec91155826a83d1da48,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, itil, jira, saas, aws, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/devsecops-senior-ii-globalsysinfo/devsecops-devops-kubernetes-kafka-data-c/rf-a0ef186d6218c3db7045,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/it-pmo-con-exp-banca-y-o-trading-pss/project-manager/rf-32221ba0d21a13e05241,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, project manager, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/it-pmo-ingles-pss/pmo-agile/rf-3b1c110e5294a31b1840,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, PMO, agile, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/project-manager-infraestructrura-iam-pss/pm-iam-it-security/rf-1b221c2dd22f73fb9c4f,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, PM, IAM, IT Security, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/it-delivery-manager-ingles-pss/jira-confluence/rf-25cd18cf529713258a44,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Jira, Confluence, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/it-project-manager-pss/jira-project-manager/rf-a90e15a1d212f32c354e,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Jira, Project Manager, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/data-engineer-dbt-snowflake-github-serem/dbt-snowflake-github/rf-0d441d6c12b893a50247,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, DBT, Snowflake, GitHub, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/tecnico-campo-futurs/microinformatica-windows/rf-66ea15e4f24e4360ba4a,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
https://www.tecnoempleo.com/net-developer-futurs/net-c-sql-server-mvc4/rf-33501b61a20bf347e649,", Acceso Candidato registradoEntra en tu cuenta, Alta CandidatoCrea tu cuenta de candidato, Acceso EmpresasEntra en tu cuenta de empresa, Alta Empresa GratisCrea tu cuenta de empresa, Formación IT tecnosaber, Empleo por provincias, Contacta por email",,,,
