titulo,tipo_puesto,tecnologias_x,jornada,es_remoto,link
DBA 100% Remoto,Base de Datos/DBA,"MySQL,SQL,Oacle",Jornada completa,True,https://www.tecnoempleo.com/dba-100-remoto-trs-staffing-solutions/mysql-sql-oracle-postgresql/rf-9a55157762f953e1774d
Practicas: ciberseguridad SecDevOps,DevOps,"Liux,Kubernetes,CI/CD",Jornada completa,False,https://www.tecnoempleo.com/practicas-ciberseguridad-secdevops-gmv/linux-kubernetes-ci-cd/rf-1e151d933297e392a54f
Devops Lead,DevOps,Kafka,Jornada completa,False,https://www.tecnoempleo.com/devops-lead-axiom-software-solutions/kafka/rf-1b6f11af127be3c59d4a
Java Developer,Programador,"java,spig,eac",Jornada completa,False,https://www.tecnoempleo.com/java-developer-axiom-software-solutions/java-spring-react/rf-49c21b5b62f353be0444
Analista de Datos,Analista,"Excel,PoweBI",Jornada completa,False,https://www.tecnoempleo.com/analista-datos-serem/excel-power-bi/rf-2cbc1b1382e1e3654946
Tecnico Informatico,Soporte Tecnico,"sopoe,ickeig",Jornada completa,False,https://www.tecnoempleo.com/tecnico-informatico-zaidan-it-consulting/soporte-ticketing/rf-f3c91853f26b332e0d48
Desarrollador Qlikview/Qliksense,Programador,"SQL,qlikview,QLIKSENSE",Jornada completa,True,https://www.tecnoempleo.com/desarrollador-qlikview-qliksense-grupo-ns/sql-qlikview-qliksense-bbdd/rf-d71d11a4a2f283973b44
Formador/a en nuevas tecnologias,Formador,fomacio,Jornada completa,False,https://www.tecnoempleo.com/formador-en-nuevas-tecnologias-grupo-sermicro/formacion/rf-d5f01c8f529f131ba24e
Administrador/a WorkPlace,Administrador,"wokplace,Windows,SCCM",Jornada completa,False,https://www.tecnoempleo.com/administrador-workplace-arelance/workplace-windows-sccm-microsoft-intune/rf-ab461c9ac285e326e84b
Formador/a en nuevas tecnologias,Formador,fomacio,Jornada completa,False,https://www.tecnoempleo.com/formador-en-nuevas-tecnologias-grupo-sermicro/formacion/rf-c03d1e3642c803677644
Programador/a Navision Business Central,Programador,"Dyamics365,avisio,BusiessCeal",Jornada completa,False,https://www.tecnoempleo.com/programador-navision-business-central-grupo-digita/dynamics-365-navision-b/rf-30f4156c62b653ec384f
Fullstack(Java/Springboot/Angular). Teletrabajo,Desarrollador Web,"Agula,HTML,CSS",Jornada completa,False,https://www.tecnoempleo.com/fullstack-java-springboot-angular-teletrabajo-seco/angular-html-css-nodejs/rf-334011356245c35b0d4d
DBA SQL Server,Base de Datos/DBA,"SQL,iiss,ssas",Jornada completa,False,https://www.tecnoempleo.com/dba-sql-server-second-window/sql-iiss-ssas-sql-server/rf-40a215a122a60340044d
Tecnico/a microinformatico,Helpdesk,"Widows,ickeig",Jornada completa,False,https://www.tecnoempleo.com/tecnico-microinformatico-grupo-sermicro/windows-ticketing/rf-b90810a63211d3f59846
Disenador/a grafico/a,Diseno grafico,"AdobeCeaiveCloud,Illusao,Phooshop",Jornada completa,False,https://www.tecnoempleo.com/disenador-grafico-a-gmv/adobe-creative-cloud-illustrator-photoshop-indesig/rf-5b82134df2ade374fe4c
Administrador Jira,Administrador,"jia,es,cofluece",Jornada completa,True,https://www.tecnoempleo.com/administrador-jira-serem/jira-rest-confluence-groovy-java/rf-12311968a2c6b36de345
Desarrollador/a Web,Desarrollador Web,"PHP,Javascip,Mysql",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-web-gmv/php-javascript-mysql-kubernetes/rf-ccc21242729623e0254f
Product Owner (FinOps/GenIA),Responsable de Producto,"PoducOwe,AWS,SQL",Jornada completa,True,https://www.tecnoempleo.com/product-owner-finops-genia-grupo-digital/product-owner-aws-sql/rf-751b1100f29983f31b46
Desarrollador/a FullStack. Ingles C1,Programador,"Agula,JavaScip,Java",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-fullstack-ingles-c1-madrid/angular-javascript-java-microserv/rf-eaa91da8629513fcc54d
Analista Programador Java (DIAGRAMAS FLUJO UML),Analista,"UML,Java,Jekis",Jornada completa,False,https://www.tecnoempleo.com/analista-programador-java-diagramas-flujo-uml-seco/uml-java-jenkins-sonrqu/rf-a44e1926b29f13678a4b
Arquitecto Front Angular,Desarrollador Web,"ANGULAR,MICROFRONTALES,HTML",Jornada completa,True,https://www.tecnoempleo.com/arquitecto-front-angular-second-window/angular-microfrontales-html/rf-d0bc152e22e4e32bd945
Security Technician,Ciberseguridad,"Meaki,Foie",Jornada completa,False,https://www.tecnoempleo.com/security-technician-second-window/meraki-fortinet/rf-4b021e8fb2aa1353464b
Analista Programador/a Dynamics CRM 365,Analista,"Dyamics,CRM",Jornada completa,False,https://www.tecnoempleo.com/analista-programador-dynamics-crm-365-serem/dynamics-crm/rf-0cb81af6328373aa4341
Frontend AI Engineer,Inteligencia Artificial/Machine Learning,"HTML,CSS,adJavaScip",Jornada completa,False,https://www.tecnoempleo.com/frontend-ai-engineer-axiom-software-solutions/html-css-and-javascript/rf-03d31fd122f9f3fcd04a
Platform Engineer,Técnico de Sistemas,"Kubernetes,Pyho,Sowflake",Jornada completa,False,https://www.tecnoempleo.com/platform-engineer-axiom-software-solutions/kubernetes-python-snowflake-pos/rf-0a821a9772b6030a804c
Tecnico/a en microinformatica,Helpdesk,"Windows,sopoe,hadwae",Jornada completa,False,https://www.tecnoempleo.com/tecnico-en-microinformatica-grupo-sermicro/windows-soporte-hardware-micros/rf-6c8915c242abd37da543
QA Engineer Funcional CORE Bancario,Arquitecto TIC,"Temeos,Seleium,Posma",Jornada completa,True,https://www.tecnoempleo.com/qa-engineer-funcional-core-bancario-panel-sistemas/temenos-selenium-postma/rf-dc351c2742776334204a
Senior QA Automation Engineer,Tester,"QA,Playwigh,Typescip",Jornada completa,False,https://www.tecnoempleo.com/senior-qa-automation-engineer-julius-baer/qa-playwright-typescript-xray/rf-02cf13f702baf30d9340
HCL Notes Developer - 100% (f/m/d),Programador,"HCLNoes,Domio,LousScip",Jornada completa,False,https://www.tecnoempleo.com/hcl-notes-developer-100-f-m-d-julius-baer/hcl-notes-domino-lotusscript-jav/rf-caa11070827dc39a3049
Tecnico/a soporte usuarios/as,Helpdesk,"Linux,Windows,sopoe",Jornada completa,False,https://www.tecnoempleo.com/tecnico-soporte-usuarios-as-grupo-sermicro/linux-windows-soporte-scala-har/rf-bbeb1ebdb28333ea794c
Coordinador/a HelpDesk,Helpdesk,"Windows,sopoe,hadwae",Jornada completa,False,https://www.tecnoempleo.com/coordinador-helpdesk-grupo-sermicro/windows-soporte-hardware-microsoft-tic/rf-954019203214b3fdc14b
Consultor IAM,Consultor,"IBMSDSLDAP,IBMISIM/TIM/ISVGIM,CybeAk",Jornada completa,False,https://www.tecnoempleo.com/consultor-iam-baoss/ibm-sds-ldap-ibm-isim-tim-isvg-im-cyberark/rf-ca641c6c82b513d84b49
Analista Programador/a COBOL - AS400,Analista Programador,"Cobol,AS400,DB2",Jornada completa,True,https://www.tecnoempleo.com/analista-programador-cobol-as400-pss/cobol-as400-db2/rf-bd591b3a9265932f4545
Desarrollador/a Frontend Angular,Programador,"Agula,java",Jornada completa,False,https://www.tecnoempleo.com/desarrollador-frontend-angular-digital-talent-agen/angular-java/rf-bd041d4de215a3f60a44
IT Test Manager Channels 100% (f/m/d),Jefe de Equipo,"agile,SAF,gilab",Jornada completa,False,https://www.tecnoempleo.com/it-test-manager-channels-100-f-m-d-julius-baer/agile-saf-gitlab-jenkins/rf-fa9815fef2e94337a141
Tableau Server Admin 100% (w/m/d),Técnico de Sistemas,"Tableau,Pyho,PoweShell",Jornada completa,False,https://www.tecnoempleo.com/tableau-server-admin-100-w-m-d-julius-baer/tableau-python-powershell/rf-0cfd1924b243f3a99841
Tecnico/a Instalacion de alarmas,Tecnico de Mantenimiento,alamas,Jornada completa,False,https://www.tecnoempleo.com/tecnico-instalacion-alarmas-grupo-sermicro/alarmas/rf-6133186f124bf323604d
Data Engineer 100% (w/m/d),Big Data,"SQL,oacle",Jornada completa,False,https://www.tecnoempleo.com/data-engineer-100-w-m-d-julius-baer/sql-oracle/rf-12c11017420ac3eb2e45
Ingeniero desarrollo interfaces graficas,Programador,"java,javascip,ypescippyho",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-desarrollo-interfaces-graficas-sedecal/java-javascript-typescrip/rf-7903169cd2b3438c324c
Ingeniero de diseno,Ingenieros/Industria,"AuoCAD,SolidWoks",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-diseno-hays/autocad-solidworks/rf-e9301f4692f343163f47
Ingeniero/a,Ingenieros/Industria,"PLC,HMI",Jornada completa,False,https://www.tecnoempleo.com/ingeniero-a-hays/plc-hmi/rf-8bbf19d9a229f356bd43
Business Intelligence,Analista,BusiessIelligece,Jornada completa,False,https://www.tecnoempleo.com/business-intelligence-page-personnel/business-intelligence/rf-9a771bf5b23aa3b10147
Tecnico/a de automatizacion,Electronica,"Robica,Elecica",Jornada completa,False,https://www.tecnoempleo.com/tecnico-automatizacion-hays/robotica-electronica/rf-e8ce190f12088355104c
Data Engineer Freelance,Big Data,"Spak,Databicks,Pyho",Jornada completa,True,https://www.tecnoempleo.com/data-engineer-freelance-hays/spark-databricks-python/rf-eab81afad2aed3851147
Frontend Developer,Programador,"eac,javaScip,HTML5",Jornada completa,False,https://www.tecnoempleo.com/frontend-developer-accenture/react-javascript-html5-css/rf-de34141fc2844308b44c
Data Scientist Junior,Big Data,"Pyho,azue",Jornada completa,False,https://www.tecnoempleo.com/data-scientist-junior-ey/python-azure/rf-bf59139612d6b3bd874b
Senior Data Scientist,Big Data,"daa,AI",Jornada completa,False,https://www.tecnoempleo.com/senior-data-scientist-ey/data-ai/rf-3419105ee28e43148145
Tech Junior Analyst con discapacidad,Analista,SAM,Jornada completa,False,https://www.tecnoempleo.com/tech-junior-analyst-con-discapacidad-hibrido/sam/rf-e8471334321bf361cd45
Desarrollador C++,Programador,"C,SQL",Jornada completa,True,https://www.tecnoempleo.com/desarrollador-c-remoto/c-sql/rf-bb591f9e326333370a4a
Desarrollador Angular/Ionic,Programador,"Agula,Ioic,OpeApi",Jornada completa,True,https://www.tecnoempleo.com/desarrollador-angular-ionic-second-window/angular-ionic-openapi-typescript/rf-143d1128829cb37af342
Fullstack (Java/Javascript),Programador,"Java,Spig,JavaScip",Jornada completa,True,https://www.tecnoempleo.com/fullstack-java-javascript-second-window/java-spring-javascript-html-css-jq/rf-a3b11deb42aaf3ee7544
Full stack (Java - Angular),Programador,"JAVA,MAVEN,ANGULAR",Jornada completa,True,https://www.tecnoempleo.com/full-stack-java-angular-second-window/java-maven-angular-nodejs-springboot/rf-6653153342a883b2f445
TechOps Engineer,DevOps,"AWS,Liux,MySQL",Jornada completa,False,https://www.tecnoempleo.com/techops-engineer-aristocrat/aws-linux-mysql-windows/rf-c5cb1c539220b3592d48
.NET Developer,Programador,".Ne,C#",Jornada completa,False,https://www.tecnoempleo.com/net-developer-aristocrat/net-c/rf-8d4d12ce12e6930c1540
Digital Marketing Specialist,Marketing,"makeig,seo,sem",Jornada completa,False,https://www.tecnoempleo.com/digital-marketing-specialist-cdmon/marketing-seo-sem/rf-944b1c4062c523b4f441
Programador/a C++,Analista Programador,c,Jornada completa,False,https://www.tecnoempleo.com/programador-c-malaga/c/rf-c72212519261e3ca6b47
